title,company,rating,location,salary,summary,post_date,record obtained,job_url,State,City
Curation Scientist,Fulgent Genetics,,"Atlanta, GA",,"Work with bioinformatics team to improve pipeline.
In addition, he/she will work in close collaboration with other members of our team, which includes analysts,…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaymrziV32DHko6bELuw5_VtGLHlG9C70Awz4bXRybzv82jdjxTSyPHj8s52CzcoZFcoNbMgy1PQ8DnXCAzkLsmUAW9XEDzKsxH4MaQXcsXkAon34JQtErX2JdqGytB1Or91ZUve8wzcXcKMztVVKuSnw5RXbVhj4PKDcAcv_vnlMLxAYA4EVwsalCsI7H4uT9AoYG9S69Sfgexh2izEG1cl7w9hcm2eYrT2Kb9VavTRodEQ-llCi4MRek7CoMxeASp-dm7s8s0Oc6DXlE0XNONDj9xmFkYMkrzxeYO772XVWaS58c-3pHLbpzsnM5OSS1PYOwVX67FRbU8t_MB6HJE4-LtoSjkKzJTWL4FDi1Vb0RK2RimQk1G0zWnvzGf2hovkbMe-Bqk4Z89DVIvQlXDhPjEjrRtFJ4a_iEcEtGTZselbXPYr0CB9VIBp7_Sxt8_rakDEsiEkM3-xyThKmR&p=16&fvj=1&vjs=3,GA,Atlanta
Computational Biologist / Bioinformatics Data Scientist,Novartis,4.1,"Cambridge, MA",,"Familiarity with biological profiling technologies and the analysis tools to support them.
In this role you will work at the cutting edge of science to tackle…",8 days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Alc63mq7XbG_XJWtX8RBizZIwo5v3DdAY7_u3VbNSkJ_xP7YBlPnYI-Kphl7S8MIhlog1XiH5cK2xrJQTPHiNfolQ_ARFb-Vae4hrYEXjD87cGlJaqlqa7cGqWQ6mzO6GxdXpe2Xz6YDfD_zJXZxEFKnBecDeCYtTQa511bha3QIX1jdTghe5Ah4h1wTiAj6mRKqlb4M_4j5LHlTVYDz-v8AoNeNx83V-1v4g-MBAe0pxl2A3LAUrcTg-UOnQIMuDM3TxDBiKmsthPJAqaRBaof-tJoKCwvzYIoAeEh2quBA-Zb-oYm-9ERd0NSGw-2iBpZtwvBQC1awHW4dDMbpGwaN23CD7L4SPgzFbmzuMXvadfSrBRMItkYjkAaMYYZjDFlvukoWwtnibx6SpezoaNTdkO40nIBTQ=&p=17&fvj=0&vjs=3,MA,Cambridge
Software Bio-Mathematician I/II - R&D Support,"BioFire Diagnostics, LLC.",3.5,"Salt Lake City, UT",,The candidate will be responsible for performing complex mathematical and/or statistical analysis and modeling for projects to support BioFire Diagnostics’…,30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dw6GaUeCDdXqB0UazlhVwDHmj5R7jGQDoHp7lyV3BblIqV0RrZv1TwBeRjPqcXVrcDDn8U93hd4P6pFZCuG3005atExGir2cKp40EiX6aPLSvo8YaXcHhvynhg9D_8Q3TBWg5SXQFJM6qGut-iDJ-oBZDDeuoQq_xakRwxrXF7b6KTDgsXxKPIB585qSifc2Qe8tRLzr5sCR8NsVDGbnCbozEwo4jwhvuyxiTS6T16PE1ZUvrZ6PZMFMO8RrYBxsmXXSbUDXIICttw63eiRGt-uFEut4q3Qv4qR0eFkNbnSmbUbqWhTSAe1gnVF44thej-3BtIKSys8sBOhtjI_urMGsaz2WIYJNKptA6C1P5iBB3bXaYQO1-Z5m1Ioc-uwQpPV6FofWwwL6sN56lnfGPOHWkfnuStQ4x_jXkS6oeRBaf5Hs9owsSrUUxQZmEkZa2O-h8IFPwolOh14VaWY4Hk8X84MGJCnFWTa8JdiQXoDydYozO1kF7s8-KrjRyrlyzAP9w3m_s614xQNbexKzzFhVoUJlMF_dg_h_Z1Od5V2w==&p=0&fvj=0&vjs=3,UT,Salt Lake City
Epidemiologist,"IHRC, Inc.",4.5,"Atlanta, GA",,"Performing data analysis, including preparation of 2x2 tables and graphs.
Developing communication debriefs to update the Mycotic Diseases Branch and other…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BGFpjgZQf3ItW9dM7q_D6PmD90sQvne3C-Bwcd7L89hTzFbqc7rEP1bUO3sOFOGlWFtjmXe_xBTpx17jMJWYZdgqUJE4gjO0tbqF4Lwh4h-J8-mldjzyI6cRPjeXvqwQABovKml-4cAwyvMiVsdkOPgNLSqrhDT-8G-OrroWWF3N9HrXwJ_yKuQ6gwvRFtNGiPU8T8nlwRQHiY-bKlRHfqK2v4xkmlnLV9uOImNKDQEwDVQCkThIB4HOvkO3wj-prmEKsLyqdGrRaxCsSel6K2xoL0iT_YPEHL2N5UGvnyFzJd796MkzcvyvqnTK7ekneag_iTdT4v0__OUofHCBvhu1hNH3kUX9GnWyfZyXEvPApC3r33wwhJWis7HEO2XvwIhRmGZl5Srnj602_ZDFvC8OrJbt5CbyX-XeWF195HS87mFOf89arnv1ZcRr6vgW4MKygkWsdvMazcXfoHcHdkIw2GVKcWQdXJKZCQaPtW6R0J0YL5iLCd9p8GkbMQjt7_zJmEcNMNHLCDVCW0nVL6EPcJW4Z0nM9mjV8cIbWgsUgsod9PMQWI-v1cv0D00mA=&p=1&fvj=0&vjs=3,GA,Atlanta
Bioinformatics Scientist,Eclipse BioInnovations,,"San Diego, CA","$80,000 - $120,000 a year","Perform previously existing standard analysis pipelines using the AWS cloud platform.
Examine data and preparing technical reports, summaries, protocols and…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CN0eHvAlBSxXhl4Ps2VJw_aQAABUbiWN04Z2lSTQb-SSVpbfF-nePkyM85OL3eAYBFRuJHRhEGpXRuIwZkxB7ZgOl5iSqMsb3wHPy3U8y3lEk5npjq_rRXqvtD2XMii8bX7aRPX30qurv2z_gfzMLkITKbeZm3_UYjEtVUy8mGNQbtPh5OHUfelyX95ndlg-UeF2dkph9n5tyPUqIhHT-Pm-pxpArHTXi91s3qawQJ146daqKzJBGvUUYh9WQeJGiMh8pjT8jeaDMpZISeBFJDaafTQAjjsBaKW6bWw4J1bJ3ognl08KQXmvV6nJxvM8DK5W2Qqi2eqRCjRI9sYwNrHWB6C78RjAWlDRwiFI42MJesQ1wwN6KkAaKtSFcSJhdRd_U2ivY4wP4e54YrSDYXyH2O8T3sbnJ4lDVJxAu5kEzYw66uqJW5OGeWQhrOu5S_8cbmAWBfc8XE_bGMibhOp9s9rJHW4sI=&p=2&fvj=1&vjs=3,CA,San Diego
2021 Bioinformatics Co-Op,Merck,4.1,"Cambridge, MA",,"D. in computer science, software engineering, bioinformatics, systems biology, computational biology, or a related field.",2 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=db1310d2761198b9&fccid=c38b7d5e0419a6a7&vjs=3,MA,Cambridge
Senior Researcher of Bioinformatics,Synbio Technologies,,"Monmouth Junction, NJ",,"We are seeking a highly motivated bioinformatics/protein informatics researcher to join our team focusing on protein structure modeling, analysis of NGS data,…",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=ea3eed9cabc331f8&fccid=82310fd5e611ea29&vjs=3,NJ,Monmouth Junction
Bioinformatics Analyst / 40 Hours/ Genetics,Brigham & Women's Hospital(BWH),4.1,"Boston, MA",,"The ideal candidate will have a strong interest in bioinformatics programming in the context of human genetic disease and CRISPR therapeutics, and will be…",30+ days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=3c67e333da5d0bc3&fccid=053c0caee91baa24&vjs=3,MA,Boston
Bioinformatics Scientist,Bio-techne,3.1,"Wallingford, CT",,"MS degree in bioinformatics, computer science, engineering, or another relevant field, required.
Experience or coursework with biological sourced data analyzed…",21 days ago,2020-10-29,https://www.indeed.com/rc/clk?jk=35c8a292053252c8&fccid=28abee2910df1479&vjs=3,CT,Wallingford
"Research Scientist, Genetics",Fulgent Genetics,,"Temple City, CA",,"Responsible for analysis of next generation sequencing data and interpretation of results.
Ability to multitask and prioritize laboratory and data analysis…",30+ days ago,2020-10-29,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DaymrziV32DHko6bELuw5_VtGLHlG9C70Awz4bXRybzsVk-QYha1EhCGFCnaTNuyxy_nQwOF42mBsJyoBMltcbCicce-GSbibXcpL6S5WkdpM0OsSUi-xjiHf3dKunyLqmZi0XonlO__7blu-O1tC2s3_oHtOCLl-W5sQkdvJ6Atqu1szW5g_wwQVTeCxx9p3Y5UXh8yT_TgQTOddIzcUg4DrqgADwEzYJG_0rHaF9ePHHPHcfMP2xFgKHIGAabmRHKpq7tWJYp_gTWgsw52et2vjxjZE1ASL4htGCAKTzOMlJ76JXDYy32h4xvYDSDs4emuvwjAKjrwk9IUYYNs162-rw-E6wBxkfX093cvJe44W7Vs6YmIKeYkeCCW5VAxiDDtjCxxvb8Y3DP0XMURydYOHRR-xUsOMU4rE0azp-kdOLEcnlVYK38ns_1ANcXWnXXJRMOyvm3gHFVIQpQ1h5dksweDK3aSQ=&p=12&fvj=1&vjs=3,CA,Temple City
