State,Jobs
CA,497
MA,221
MD,92
NJ,78
GA,65
TX,60
UT,33
NY,25
NC,24
PA,17
WA,17
MO,15
DC,13
CT,13
IL,13
AZ,12
CO,12
FL,10
IN,8
WI,7
OR,6
TN,6
VA,5
IA,5
OH,5
DE,4
OK,4
MI,4
KS,2
ID,2
MS,1
NM,1
HI,1
MT,1
NV,1
KY,1
LA,1
ME,1
AR,1
SD,1
NE,1
